79,100,179,-21,7900,0.79
17,72,89,-55,1224,0.24
15,1,16,14,15,15.00
61,92,153,-31,5612,0.66
95,46,141,49,4370,10
28,37,65,-9,1036,0.76
99,46,145,53,4554,2.15
41,8,49,33,29,5.13
91,81,172,10,7371,1.12
48,75,123,-27,3600,0.64
85,23,108,62,1955,3.70
28,4,32,24,112,7.00
53,95,148,-42,5035,0.56
18,73,91,-55,1314,0.25
3,31,34,-28,93,0.10
37,3,40,34,111,12.33
52,75,127,-23,3900,0.69
58,87,145,-29,5046,0.67
74,9,83,65,666,8.22
38,90,128,-52,3420,0.42
99,18,117,81,1782,5.50
73,71,144,2,5183,1.03
62,7,69,55,434,8.86
32,97,129,-65,3104,0.33
12,5,17,7,60,2.40
67,62,129,5,4154,1.08
41,42,83,-1,1722,0.98
37,95,132,-58,3515,0.39
28,15,43,13,420,1.87
76,4,80,72,304,19.00
75,56,131,19,4200,1.34
32,28,60,4,896,1.14
51,1,52,50,51,51.00
48,62,110,-14,2976,0.77
70,86,156,-16,6020,0.81
44,63,107,-19,2772,0.70
54,90,144,-36,4860,0.60
93,14,107,79,1302,6.64
86,41,127,45,3526,2.10
46,84,130,-38,3864,0.55
4,3,7,1,12,1.33
79,99,178,-20,7821,0.80
67,60,127,7,4020,1.12
91,7,98,84,637,13.00
44,63,107,-19,2772,0.70
51,50,101,1,2550,1.02
19,97,116,-78,1843,0.20
1,16,17,83,16,0.06
60,40,100,20,2400,1.50
36,46,82,-10,1656,2
58,10,68,48,580,5.80
64,87,151,-23,5568,0.74
4,5,9,-1,20,0.80
75,40,115,35,3000,1.88
61,62,123,-1,3782,0.98
19,57,76,-38,1083,0.33
52,59,111,-7,3068,0.88
84,36,120,48,3024,2.33
4,43,47,-39,172,0.09
50,46,96,4,2300,1.09
92,97,189,-5,8924,0.95
12,32,44,-20,384,0.38
50,27,77,23,1350,1.85
38,63,101,-25,2394,0.60
75,84,159,-9,6300,0.89
17,59,76,-42,1003,0.29
49,21,70,28,1029,2.33
49,36,85,13,1764,1.36
56,53,109,3,2968,1.06
11,96,107,-85,1056,0.11
20,43,63,-23,860,0.47
57,97,154,-40,5529,0.59
26,100,126,-74,2600,0.26
78,56,134,22,4368,1.39
18,50,68,-32,900,0.36
3,21,24,-18,63,0.14
15,37,52,-22,555,0.41
65,63,128,2,4095,1.03
66,54,120,12,3564,1.22
95,87,182,8,8265,1.09
62,7,69,55,434,8.86
38,49,87,-11,1862,0.78
85,64,149,21,5440,1.33
4,26,30,-22,50,0.15
49,9,58,40,441,5.44
76,51,127,25,3876,1.49
60,76,136,-16,4560,0.79
68,88,156,-20,5984,0.77
3,89,92,-86,267,0.03
6,78,84,-72,468,0.08
52,79,131,-27,4108,0.66
4,67,71,-63,268,0.06
75,19,94,56,1425,3.95
